,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE
12017,029-846-340,STRATA,138600890054,13860089,CD-1 (525),Comprehensive Development,54,54,EPS3242,541,1009,777.0,RICHARDS ST,V6B 0M6,LOT 54  BLOCK 54  PLAN EPS3242  DIS,"TRICT LOT 541  NWD GROUP 1, TOGETHE",R WITH AN INTEREST IN THE COMMON PR,OPERTY IN PROPORTION TO THE UNIT EN,TITLEMENT OF THE STRATA LOT AS SHOW,822000.0,541000.0,2018.0,643000.0,541000.0,,,,26
110062,024-813-125,STRATA,664090040002,66409004,C-8,Commercial,2,,LMS4185,526,2,2738.0,ARBUTUS ST,V6J 3Y6,LOT 2  PLAN LMS4185  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 921/16251, SHARE IN COMM PROP THEREIN.,,,612000.0,121000.0,2018.0,487000.0,124000.0,2000.0,2000.0,,2
38897,029-859-115,STRATA,594186780118,59418678,CD-1 (547),Comprehensive Development,118,,EPS3444,196,1809,188.0,KEEFER ST,V6A 0E3,LOT 118  PLAN EPS3444  DISTRICT LOT," 196  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,589000.0,287000.0,2018.0,470000.0,288000.0,,,,26
147782,003-266-605,LAND,630045040000,63004504,RT-8,Two Family Dwelling,1,8,VAP229,540,,1650.0,WATERLOO ST,V6R 3G1,LOT 1  BLOCK 8  PLAN VAP229  DISTRI,CT LOT 540  NEW WESTMINSTER,,,,4655000.0,0.0,2018.0,4749000.0,0.0,1967.0,1967.0,,2
135321,005-629-322,STRATA,87634050001,8763405,RM-4,Multiple Family Dwelling,1,,VAS1461,526,101,1707.0,YEW ST,V6K 3E8,LOT 1  PLAN VAS1461  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 114/562 S,HARE IN COM PROP THEREIN.,,,1879000.0,451000.0,2018.0,1491000.0,292000.0,1984.0,1984.0,,2
91537,010-554-831,LAND,212730860000,21273086,RS-1,One Family Dwelling,23,5,VAP1210,668,,5086.0,PRINCE ALBERT ST,V5W 3C6,LOT 23  BLOCK 5  PLAN VAP1210  DIST,"RICT LOT 668  NWD GROUP 1, EXC THE ","E 2', NOW LANE, TO DL 670.",,,1291000.0,49000.0,2018.0,1290000.0,51200.0,1946.0,1965.0,,16
91392,023-597-470,STRATA,631236440002,63123644,RM-4,Multiple Family Dwelling,2,,LMS2609,264A,,1648.0,2ND AVE E,V5N 1C9,LOT 2  PLAN LMS2609  DISTRICT LOT 2,64A  NWD UNDIV 140/280 SHARE IN COM, PROP THEREIN TOGETHER WITH AN INTE,REST IN THE COMMON PROPERTY IN PROP,ORTION TO THE UNIT ENTITLEMENT OF T,1007000.0,270000.0,2018.0,973000.0,269000.0,1996.0,1996.0,,14
176197,006-442-862,STRATA,313823010017,31382301,CD-1 (117),Comprehensive Development,17,335,VAS1241,,,3376.0,MARQUETTE CRES,V5S 4K4,LOT 17  BLOCK 335  PLAN VAS1241  NE,W WESTMINSTER UNDIV 120/8668 SHARE ,IN COM PROP THEREIN.,,,362000.0,161000.0,2018.0,269000.0,173000.0,1983.0,1983.0,,25
102288,025-704-982,STRATA,592116040125,59211604,DD,Comprehensive Development,125,,BCS460,185,2301,1328.0,PENDER ST W,V6E 4T1,LOT 125  PLAN BCS460  DISTRICT LOT ,"185  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,725000.0,287000.0,2018.0,582000.0,287000.0,2003.0,2003.0,,26
52914,019-018-649,LAND,210799250000,21079925,RT-2,Two Family Dwelling,A,1,LMP19832,654,,6933.0,FRASER ST,V5X 3V3,LOT A  BLOCK 1  PLAN LMP19832  DIST,RICT LOT 654  NEW WESTMINSTER,,,,1246000.0,211000.0,2018.0,1292000.0,210000.0,1995.0,1995.0,,17
54192,023-598-395,STRATA,126606020014,12660602,DD,Comprehensive Development,14,,LMS2586,541,206,1010.0,HOWE ST,V6Z 1P5,LOT 14  PLAN LMS2586  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 45/7846 ,SHARE IN COM PROP THEREIN.,,,290000.0,131000.0,2018.0,232000.0,132000.0,1983.0,1993.0,,29
109435,027-312-577,STRATA,167604920059,16760492,CD-1 (422),Comprehensive Development,59,,BCS2646,FC,1107,980.0,COOPERAGE WAY,V6B 0C3,LOT 59  PLAN BCS2646  DISTRICT LOT ,FC  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,ATA LOT AS SHOWN ON FORM V.,1036000.0,285000.0,2018.0,897000.0,285000.0,2007.0,2007.0,,30
180649,028-816-919,STRATA,126595970010,12659597,CD-1 (413),Comprehensive Development,10,,BCS4101,541,550,669.0,HOWE ST,V6C 0B4,LOT 10  PLAN BCS4101  DISTRICT LOT ,"541  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,747000.0,710000.0,2018.0,550000.0,717000.0,2011.0,2011.0,,26
83988,029-918-553,STRATA,640194060022,64019406,IC-3,Light Industrial,22,26,EPS2425,200A,308,1908.0,SCOTIA ST,V5T 0E8,LOT 22  BLOCK 26  PLAN EPS2425  DIS,"TRICT LOT 200A  NWD GROUP 1, TOGETH",ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,210000.0,169000.0,2018.0,154000.0,170000.0,,,,13
120704,019-115-938,STRATA,79750280032,7975028,RM-3,Multiple Family Dwelling,32,,LMS1761,526,PH2,5788.0,VINE ST,V6M 4L8,LOT 32  PLAN LMS1761  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 208/1000,0 SHARE IN COM PROP THEREIN.,,,392000.0,95500.0,2018.0,378000.0,97600.0,1994.0,1994.0,,5
5100,006-224-474,STRATA,592250720026,59225072,RM-4,Multiple Family Dwelling,26,,VAS947,183,213,1748.0,PENDER ST E,V5L 1W4,LOT 26  PLAN VAS947  DISTRICT LOT 1,83  NEW WESTMINSTER UNDIV 71/2442 S,HARE IN COM PROP THEREIN.,,,262000.0,81800.0,2018.0,217000.0,86200.0,1981.0,1981.0,,14
80754,004-792-319,LAND,805130230000,80513023,RS-1,One Family Dwelling,6,17A,VAP4251,526,,1479.0,56TH AVE W,V6P 1R6,LOT 6  BLOCK 17A  PLAN VAP4251  DIS,TRICT LOT 526  NWD OF LOT 25.,,,,2456000.0,1027000.0,2018.0,2564000.0,1054000.0,2008.0,2008.0,,10
149457,025-997-009,STRATA,607267930003,60726793,C-1,Commercial,3,,BCS906,264A,,1273.0,NANAIMO ST,V5L 4T5,LOT 3  PLAN BCS906  DISTRICT LOT 26,4A  NEW WESTMINSTER UNDIV 66/521 SH,ARE IN COM PROP THEREIN.,,,260000.0,97500.0,2018.0,176000.0,99700.0,2004.0,2004.0,,14
202350,014-508-702,LAND,748195190000,74819519,RS-1,One Family Dwelling,9,A,VAP1634,640,,309.0,WOODSTOCK AVE E,V5W 1N2,LOT 9  BLOCK A  PLAN VAP1634  DISTR,"ICT LOT 640  NWD PART E 1/2, GROUP ","1, OF LOT 2, OF BLOCK 2.",,,1548000.0,73600.0,2018.0,1631000.0,76900.0,1905.0,1976.0,,16
1268,003-247-104,LAND,218765140000,21876514,RS-1,One Family Dwelling,2,6,VAP1900,662,,6318.0,ELGIN ST,V5W 3K3,LOT 2  BLOCK 6  PLAN VAP1900  DISTR,ICT LOT 662  NEW WESTMINSTER,,,,1530000.0,41300.0,2018.0,1521000.0,43200.0,1953.0,1967.0,,19
52390,006-210-473,STRATA,184650680015,18465068,RM-4,Multiple Family Dwelling,15,,VAS923,302,305,2540.0,ONTARIO ST,V5T 2X6,LOT 15  PLAN VAS923  DISTRICT LOT 3,02  NEW WESTMINSTER UNDIV 6/100 SHA,RE IN COM PROP THEREIN.,,,276000.0,65500.0,2018.0,227000.0,69000.0,1981.0,1981.0,,13
193222,018-452-141,STRATA,716317640026,71631764,CD-1 (241),Comprehensive Development,26,,LMS1071,36,202,3628.0,RAE AVE,V5R 2P5,LOT 26  PLAN LMS1071  DISTRICT LOT ,36  NEW WESTMINSTER UNDIV 77/6395 S,HARE IN COM PROP THEREIN.,,,329000.0,145000.0,2018.0,227000.0,149000.0,1993.0,1993.0,,23
73023,025-203-584,STRATA,161606550095,16160655,CD-1 (324),Comprehensive Development,95,,LMS4555,,1902,1033.0,MARINASIDE CRES,V6Z 3A3,LOT 95  PLAN LMS4555  NEW WESTMINST,"ER DISTRICT LOT FALSE CREEK, UNDIV ",54/36841 SHARE IN COMM PROP THEREIN,.,,533000.0,163000.0,2018.0,457000.0,164000.0,2002.0,2002.0,,30
1866,018-543-731,STRATA,603118890025,60311889,RM-5B,Multiple Family Dwelling,25,,LMS1153,185,602,1111.0,HARO ST,V6E 1E3,LOT 25  PLAN LMS1153  DISTRICT LOT ,185  NEW WESTMINSTER UNDIV 993/6057,4 SHARE IN COM PROP THEREIN.,,,599000.0,305000.0,2018.0,497000.0,309000.0,1994.0,1994.0,,27
194815,014-163-730,LAND,710197530000,71019753,RS-1,One Family Dwelling,F,C,VAP1929,301,,453.0,KING EDWARD AVE E,V5V 2C6,LOT F  BLOCK C  PLAN VAP1929  DISTR,ICT LOT 301  NWD OF LOTS 5 & 6.,,,,1029000.0,44200.0,2018.0,999000.0,43900.0,1910.0,1910.0,,15
76353,026-378-442,STRATA,162604050447,16260405,CD-1 (324),Comprehensive Development,447,,BCS1437,FC,2010,939.0,EXPO BLVD,V6Z 3G7,LOT 447  PLAN BCS1437  DISTRICT LOT," FC  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,487000.0,216000.0,2018.0,401000.0,216000.0,2005.0,2005.0,,30
14382,015-722-899,LAND,568274770000,56827477,RS-1,One Family Dwelling,228,,VAP100,HT,,2687.0,TRINITY ST,V5K 1E5,LOT 228  PLAN VAP100  DISTRICT LOT ,"HT  NWD PART E 1/2, EXC N 10 FT NOW", LANE.,,,1450000.0,45600.0,2018.0,1418000.0,46800.0,1927.0,1960.0,,20
11550,013-826-409,LAND,825156500000,82515650,RS-1,One Family Dwelling,12,17,VAP2399,319,,744.0,66TH AVE W,V6P 2R5,LOT 12  BLOCK 17  PLAN VAP2399  DIS,"TRICT LOT 319  NWD OF BLK D, & DL 3",23 & 324.,,,2085000.0,97300.0,2018.0,2000000.0,96900.0,1978.0,1978.0,,12
184095,027-490-327,STRATA,230706020105,23070602,CD-1 (420),Comprehensive Development,105,,BCS2869,352,609,4028.0,KNIGHT ST,V5N 5Y8,LOT 105  PLAN BCS2869  DISTRICT LOT, 352  NWD GROUP 1.,,,,385000.0,266000.0,2018.0,234000.0,269000.0,2008.0,2008.0,,15
40332,014-545-489,LAND,585312590000,58531259,RS-1,One Family Dwelling,19,,VAP1591,THSL,,3649.0,DUNDAS ST,V5K 1S3,LOT 19  PLAN VAP1591  DISTRICT LOT ,"THSL  NWD GROUP 1, OF LOT 10.",,,,1351000.0,30000.0,2018.0,1316000.0,31600.0,1918.0,1967.0,,20
138363,027-390-209,STRATA,134612550145,13461255,DD,Comprehensive Development,145,,BCS2756,541,1902,1255.0,SEYMOUR ST,V6B 0H1,LOT 145  PLAN BCS2756  DISTRICT LOT, 541  NWD GROUP 1.,,,,663000.0,294000.0,2018.0,546000.0,297000.0,2008.0,2008.0,,29
17776,014-212-811,LAND,230723380000,23072338,RS-1,One Family Dwelling,2,,VAP1909,352,,4638.0,KNIGHT ST,V5N 3N1,LOT 2  PLAN VAP1909  DISTRICT LOT 3,"52  NWD EXC W 7' NOW ROAD, OF LOT 5", S PT OF BLKS 1 & 3.,,,1291000.0,29200.0,2018.0,1210000.0,29200.0,1949.0,1949.0,,19
158803,008-960-526,LAND,819221510000,81922151,RS-1,One Family Dwelling,A,9,VAP12097,200,,1215.0,62ND AVE E,V5X 2H2,LOT A  BLOCK 9  PLAN VAP12097  DIST,RICT LOT 200  NWD GROUP 1.,,,,1252000.0,63500.0,2018.0,1264000.0,66200.0,1966.0,1966.0,,17
69425,028-436-784,STRATA,590124460017,59012446,CD-1 (443),Comprehensive Development,17,,BCS4006,541,1603,838.0,HASTINGS ST W,V6C 1C8,LOT 17  PLAN BCS4006  DISTRICT LOT ,541  NWD GROUP 1.,,,,879000.0,493000.0,2018.0,742000.0,498000.0,2011.0,2011.0,,26
181051,010-031-570,LAND,714030170000,71403017,RS-5,One Family Dwelling,3,79,VAP8551,2027,,4077.0,27TH AVE W,V6S 1R6,LOT 3  BLOCK 79  PLAN VAP8551  DIST,RICT LOT 2027  NEW WESTMINSTER,,,,4314000.0,235000.0,2018.0,4518000.0,245000.0,1952.0,1978.0,,3
9659,015-319-211,LAND,588271050000,58827105,RS-1,One Family Dwelling,32,,VAP379,THSL,,2503.0,FRANKLIN ST,V5K 1X5,LOT 32  PLAN VAP379  DISTRICT LOT T,HSL  NWD OF LOT 38.,,,,1292000.0,40800.0,2018.0,1258000.0,40800.0,1927.0,1927.0,,20
135674,008-235-082,LAND,637028570000,63702857,RS-1,One Family Dwelling,7,139,VAP3780,540,,4347.0,3RD AVE W,V6R 1M6,LOT 7  BLOCK 139  PLAN VAP3780  DIS,TRICT LOT 540  NWD OF LOT 1.,,,,4164000.0,1042000.0,2018.0,4337000.0,1029000.0,2010.0,2010.0,,1
73645,026-346-745,STRATA,148606030049,14860603,DD,Comprehensive Development,49,,BCS1399,541,903,1001.0,HOMER ST,V6B 1M9,LOT 49  PLAN BCS1399  DISTRICT LOT ,541  NEW WESTMINSTER GROUP 1.,,,,507000.0,296000.0,2018.0,481000.0,296000.0,2005.0,2005.0,,29
122918,025-229-800,STRATA,664084760083,66408476,CD-1 (341),Comprehensive Development,83,,LMS4582,526,418,2263.0,REDBUD LANE,V6K 4V7,LOT 83  PLAN LMS4582  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 100/7938, SHARE IN COM PROP THEREIN.,,,948000.0,276000.0,2018.0,727000.0,279000.0,2002.0,2002.0,,2
62415,010-906-754,LAND,145795650000,14579565,RS-1,One Family Dwelling,8,P,VAP6339,526,,7037.0,SELKIRK ST,V6P 4H1,LOT 8  BLOCK P  PLAN VAP6339  DISTR,ICT LOT 526  NWD OF BLKS 12 & 17A.,,,,3808000.0,1296000.0,2018.0,3824000.0,1329000.0,2000.0,2001.0,,10
90134,004-422-791,STRATA,632124530034,63212453,FCCDD,Comprehensive Development,34,,VAS1291,3610,307,1450.0,PENNYFARTHING DR,V6J 4X8,LOT 34  PLAN VAS1291  DISTRICT LOT ,3610  NEW WESTMINSTER UNDIV 1033/14,9471 SHARE IN COM PROP THEREIN.,,,679000.0,325000.0,2018.0,541000.0,341000.0,1983.0,1983.0,,7
187422,016-137-434,STRATA,624095040002,62409504,RT-9,Two Family Dwelling,2,,VAS2686,526,,1998.0,OGDEN AVE,V6J 1A2,LOT 2  PLAN VAS2686  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1587/6155, SHARE IN COM PROP THEREIN.,,,3273000.0,332000.0,2018.0,3030000.0,337000.0,1990.0,1990.0,,2
32381,029-847-770,STRATA,138600890197,13860089,CD-1 (525),Comprehensive Development,197,54,EPS3242,541,2509,777.0,RICHARDS ST,V6B 0M6,LOT 197  BLOCK 54  PLAN EPS3242  DI,"STRICT LOT 541  NWD GROUP 1, TOGETH",ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,844000.0,502000.0,2018.0,664000.0,502000.0,,,,26
112619,026-251-817,STRATA,589119250025,58911925,CD-1 (363),Comprehensive Development,25,,BCS1233,,2303,1077.0,CORDOVA ST W,V6C 2C6,LOT 25  PLAN BCS1233  NEW WESTMINST,"ER GROUP 1, PUBLIC HARBOUR OF THE B",URRARD INLET.,,,2697000.0,559000.0,2018.0,2334000.0,564000.0,2004.0,2004.0,,28
49468,006-243-533,LAND,130803340000,13080334,RS-1,One Family Dwelling,2,17A,VAP4251,526,,7220.0,GRANVILLE ST,V6P 4X9,LOT 2  BLOCK 17A  PLAN VAP4251  DIS,TRICT LOT 526  NWD OF LOT 25.,,,,2303000.0,52000.0,2018.0,2193000.0,54200.0,1946.0,1965.0,,10
126844,024-774-308,STRATA,124606980171,12460698,DD,Comprehensive Development,171,,LMS4157,541,2401,1068.0,HORNBY ST,V6Z 2Y7,LOT 171  PLAN LMS4157  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 70/1441,6 SHARE IN COM PROP THEREIN.,,,579000.0,272000.0,2018.0,460000.0,272000.0,2000.0,2000.0,,29
138082,017-439-183,STRATA,716317740006,71631774,CD-1 (241),Comprehensive Development,6,,LMS109,,202,3668.0,RAE AVE,V5R 6A7,LOT 6  PLAN LMS109  NEW WESTMINSTER," DISTRICT LOT 36 & 51, UNDIV 94/407",3 SHARE IN COM PROP THEREIN.,,,317000.0,174000.0,2018.0,236000.0,179000.0,1991.0,1991.0,,23
1116,014-375-591,LAND,731195220000,73119522,RS-1,One Family Dwelling,21,6,VAP1719,637,,320.0,34TH AVE E,V5W 1A1,LOT 21  BLOCK 6  PLAN VAP1719  DIST,RICT LOT 637  NWD GROUP 1.,,,,1437000.0,135000.0,2018.0,1503000.0,140000.0,1983.0,1983.0,,16
96051,019-092-075,STRATA,124608970127,12460897,DD,Comprehensive Development,127,,LMS1757,541,1107,1177.0,HORNBY ST,V6Z 2E9,LOT 127  PLAN LMS1757  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 1032/10,6152 SHARE IN COM PROP THEREIN.,,,747000.0,493000.0,2018.0,575000.0,306000.0,1981.0,1989.0,,29
20026,003-635-945,STRATA,163691450006,16369145,RM-3A,Multiple Family Dwelling,6,,VAS183,472,106,3353.0,HEATHER ST,V5Z 3K6,LOT 6  PLAN VAS183  DISTRICT LOT 47,2  NEW WESTMINSTER UNDIV 657/12883 ,SHARE IN COM PROP THEREIN.,,,423000.0,37300.0,2018.0,341000.0,40000.0,1974.0,1974.0,,9
8612,017-239-125,STRATA,684163910033,68416391,RM-4,Multiple Family Dwelling,33,,VAS2820,526,E303,623.0,14TH AVE W,V5Z 1P7,LOT 33  PLAN VAS2820  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 556/1898,1 SHARE IN COM PROP THEREIN PHASE 2,.,,397000.0,102000.0,2018.0,316000.0,104000.0,1991.0,1991.0,,7
155072,015-404-790,LAND,648045250000,64804525,RT-7,Two Family Dwelling,10,46,VAP229,540,,3347.0,8TH AVE W,V6R 1Y3,LOT 10  BLOCK 46  PLAN VAP229  DIST,RICT LOT 540  NWD PART W 1/2.,,,,2263000.0,102000.0,2018.0,2332000.0,108000.0,1914.0,1970.0,,2
191726,025-589-351,STRATA,670090650006,67009065,C-7,Commercial,6,,BCS242,526,106,2065.0,12TH AVE W,V6J 5L9,LOT 6  PLAN BCS242  DISTRICT LOT 52,6  NEW WESTMINSTER UNDIV 61/3962 SH,ARE IN COM PROP THEREIN.,,,406000.0,168000.0,2018.0,357000.0,170000.0,2002.0,2002.0,,2
28494,027-174-638,STRATA,161599940361,16159994,CD-1 (415),Comprehensive Development,361,,BCS2478,,2103,668.0,CITADEL PARADE,V6B 1W6,LOT 361  PLAN BCS2478  NWD DISTRICT," LOT FALSE CREEK, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,380000.0,141000.0,2018.0,293000.0,141000.0,2007.0,2007.0,,26
81253,028-729-536,STRATA,190691070095,19069107,CD-1 (495),Comprehensive Development,95,,BCS4295,302,517,3333.0,MAIN ST,V5V 3M8,LOT 95  PLAN BCS4295  DISTRICT LOT ,"302  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,802000.0,187000.0,2018.0,663000.0,187000.0,2011.0,2011.0,,15
161855,011-003-278,LAND,722122940000,72212294,RS-5,One Family Dwelling,1,789,VAP6011,526,,4510.0,BEVERLY CRES,V6J 4E6,LOT 1  BLOCK 789  PLAN VAP6011  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,6186000.0,2133000.0,2018.0,6303000.0,2117000.0,2004.0,2004.0,,8
122983,008-229-236,LAND,698040970000,69804097,RS-5,One Family Dwelling,B,27,21384,139,,3501.0,21ST AVE W,V6S 1H1,LOT B  BLOCK 27  PLAN 21384  DISTRI,CT LOT 139  NWD OF LOT 3.,,,,2804000.0,216000.0,2018.0,2854000.0,221000.0,1988.0,1988.0,,3
4325,006-357-245,STRATA,124614070062,12461407,DD,Comprehensive Development,62,,VAS1184,541,406,1333.0,HORNBY ST,V6Z 2C1,LOT 62  PLAN VAS1184  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 5964/100,0000 SHARE IN COM PROP THEREIN.,,,400000.0,133000.0,2018.0,254000.0,130000.0,1976.0,1976.0,,29
68912,010-472-851,LAND,168703490000,16870349,RS-5,One Family Dwelling,15,620,VAP1389,472,,3855.0,TUPPER ST,V5Z 3B9,LOT 15  BLOCK 620  PLAN VAP1389  DI,STRICT LOT 472  NEW WESTMINSTER,,,,2081000.0,34900.0,2018.0,2062000.0,35800.0,1913.0,1955.0,,9
197468,017-439-264,STRATA,716317740011,71631774,CD-1 (241),Comprehensive Development,11,,LMS109,36,207,3668.0,RAE AVE,V5R 6A7,LOT 11  PLAN LMS109  DISTRICT LOT 3,"6  NWD & DL 51, TOGETHER WITH AN IN",TEREST IN THE COMMON PROPERTY IN PR,OPORTION TO THE UNIT ENTITLEMENT OF, THE STRATA LOT AS SHOWN ON FORM 1 ,283000.0,137000.0,2018.0,214000.0,141000.0,1991.0,1991.0,,23
146471,012-330-400,LAND,585305050000,58530505,RS-1,One Family Dwelling,32,11,VAP1669,THSL,,3505.0,DUNDAS ST,V5K 1S2,LOT 32  BLOCK 11  PLAN VAP1669  DIS,TRICT LOT THSL  NWD GROUP 1.,,,,1360000.0,69500.0,2018.0,1325000.0,72900.0,1929.0,1967.0,,20
37499,009-024-328,LAND,812197110000,81219711,RS-1,One Family Dwelling,A,3,VAP11724,657,,415.0,58TH AVE E,V5X 1W1,LOT A  BLOCK 3  PLAN VAP11724  DIST,"RICT LOT 657  NWD GROUP 1, TO BLK 7",.,,,1558000.0,917000.0,2018.0,1558000.0,901000.0,1964.0,1975.0,,17
33365,015-622-355,LAND,692228650000,69222865,RM-1N,Multiple Family Dwelling,10,84,VAP187,301,,1365.0,18TH AVE E,V5V 1H5,LOT 10  BLOCK 84  PLAN VAP187  DIST,RICT LOT 301  NWD WEST 33'.,,,,1645000.0,310000.0,2018.0,1495000.0,285000.0,2002.0,2003.0,,15
10913,002-629-607,LAND,692197320000,69219732,RS-1,One Family Dwelling,1,70,VAP17506,301,,436.0,18TH AVE E,V5V 1G1,LOT 1  BLOCK 70  PLAN VAP17506  DIS,TRICT LOT 301  NEW WESTMINSTER,,,,1634000.0,146000.0,2018.0,1634000.0,150000.0,1989.0,1989.0,,15
87489,025-203-401,STRATA,161606550077,16160655,CD-1 (324),Comprehensive Development,77,,LMS4555,,1606,1033.0,MARINASIDE CRES,V6Z 3A3,LOT 77  PLAN LMS4555  NEW WESTMINST,"ER DISTRICT LOT FALSE CREEK, UNDIV ",117/36841 SHARE IN COMM PROP THEREI,N.,,1448000.0,340000.0,2018.0,1192000.0,342000.0,2002.0,2002.0,,30
111134,015-728-285,LAND,566270200000,56627020,RS-1,One Family Dwelling,250,,VAP100,HT,,2426.0,YALE ST,V5K 1B8,LOT 250  PLAN VAP100  DISTRICT LOT ,HT  NWD EXCEPT S 10 FT NOW LANE & W," 33 FT, LOT 249, PLAN VAP100, PART ","W 1/2, DISTRICT LOT HT, NEW WESTMIN","STER LAND DISTRICT, EXCEPT S 10 FT ",1804000.0,165000.0,2018.0,1778000.0,171000.0,1929.0,1975.0,,20
90012,006-407-838,STRATA,597118630003,59711863,DD,Comprehensive Development,3,,VAS1286,185,3,1155.0,MELVILLE ST,V6E 4C4,LOT 3  PLAN VAS1286  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 1/100 SHA,RE IN COM PROP THEREIN.,,,1000.0,10000.0,2018.0,1000.0,10000.0,1983.0,1983.0,,26
93044,026-916-428,STRATA,243696290039,24369629,MC-1,Industrial,39,,BCS2139,744,,3617.0,COMMERCIAL ST,V5N 4G1,LOT 39  PLAN BCS2139  DISTRICT LOT ,744  NEW WESTMINSTER GROUP 1.,,,,907000.0,203000.0,2018.0,724000.0,206000.0,2007.0,2007.0,,15
74836,013-930-583,LAND,96627370000,9662737,RT-9,Two Family Dwelling,10,176,VAP2301,526,,1339.0,WALNUT ST,V6J 3R2,LOT 10  BLOCK 176  PLAN VAP2301  DI,STRICT LOT 526  NEW WESTMINSTER,,,,3116000.0,228000.0,2018.0,3146000.0,235000.0,1912.0,1975.0,,2
30333,029-383-358,STRATA,650165380117,65016538,CD-1 (494),Comprehensive Development,117,,EPS2269,526,731,550.0,BROADWAY W,V5Z 0E9,LOT 117  PLAN EPS2269  DISTRICT LOT," 526  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,495000.0,186000.0,2018.0,518000.0,186000.0,2014.0,2014.0,,7
160699,005-611-784,STRATA,650214950024,65021495,RM-4N,Multiple Family Dwelling,24,,VAS662,264A,310,975.0,BROADWAY E,V5T 1Y3,LOT 24  PLAN VAS662  DISTRICT LOT 2,64A  NEW WESTMINSTER UNDIV 723/2937,3 SHARE IN COM PROP THEREIN.,,,283000.0,88000.0,2018.0,179000.0,87100.0,1978.0,1983.0,,13
137478,024-574-236,STRATA,600117530013,60011753,CD-1 (260),Comprehensive Development,13,,LMS3963,185,403,1239.0,GEORGIA ST W,V6E 4R8,LOT 13  PLAN LMS3963  DISTRICT LOT ,185  NEW WESTMINSTER UNDIV 675/2115,61 SHARE IN COM PROP THEREIN.,,,371000.0,195000.0,2018.0,275000.0,198000.0,1999.0,1999.0,,26
149977,012-358-789,LAND,611282370000,61128237,RS-1,One Family Dwelling,28,68,VAP3672,THSL,,3025.0,KITCHENER ST,V5K 3E8,LOT 28  BLOCK 68  SECTION 31  PLAN ,VAP3672  DISTRICT LOT THSL  NWD AMD, (SEE 246106L).,,,1798000.0,23900.0,2018.0,1857000.0,25000.0,1922.0,1965.0,,21
